x,y,cell_id,population ,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3,u,var,sd,IoD,CoV
-2.1048264,53.5375527,-5.09E+18,136,1,1,1,0,0.75,0.25,0.5,0.333333333,0.666666667
-2.2655402,53.4204534,6.50E+18,22,3,3,5,2,3.25,1.583333333,1.258305739,0.487179487,0.387170997
-2.2655963,53.4294419,8.69E+18,38,2,1,0,2,1.25,0.916666667,0.957427108,0.733333333,0.765941686
-2.1062901,53.5195747,1.79E+18,73,0,0,0,1,0.25,0.25,0.5,1,2
-2.1063691,53.5510339,8.50E+18,131,0,1,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.106403,53.5645163,-5.27E+18,97,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.1064166,53.5699093,-1.06E+18,81,1,0,0,0,0.25,0.25,0.5,1,2
-2.1049445,53.5851907,-6.20E+18,56,0,0,1,0,0.25,0.25,0.5,1,2
-2.263952,53.4069741,-2.54E+18,6,0,1,0,0,0.25,0.25,0.5,1,2
-2.2641192,53.4339394,-5.53E+16,54,0,3,3,0,1.5,3,1.732050808,2,1.154700538
-2.2641527,53.4393324,-1.80E+18,68,1,0,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.1048286,53.5384515,-5.96E+18,201,0,0,2,0,0.5,1,1,2,2
-2.1048798,53.5591247,5.33E+18,26,0,1,0,0,0.25,0.25,0.5,1,2
-2.1048887,53.56272,-2.81E+18,79,1,0,1,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.1049802,53.5995719,-4.19E+18,89,0,0,1,0,0.25,0.25,0.5,1,2
-2.1050093,53.6112566,-8.73E+18,70,0,0,0,1,0.25,0.25,0.5,1,2
-2.1033395,53.5465423,6.13E+18,120,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.1033417,53.5474412,-7.36E+18,39,1,0,0,0,0.25,0.25,0.5,1,2
-2.1033505,53.5510365,-4.52E+18,22,0,0,1,0,0.25,0.25,0.5,1,2
-2.1033702,53.559126,-4.33E+18,30,0,0,1,0,0.25,0.25,0.5,1,2
-2.1034032,53.5726084,3.76E+18,53,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.1034054,53.5735072,1.38E+18,87,0,0,1,0,0.25,0.25,0.5,1,2
