x,y,cell_id,postcode,county,town,suburb,road,box_1,box_2,box_3,box_4
-2.2655402,53.4204534,6.50452914490822e+18,M21 7PQ,Greater Manchester,Unknown,Northern Moor,Woodlake Avenue,53.4206027,53.4219815,-2.2658047,-2.2638575
-2.2655963,53.4294419,8.68560051705832e+18,M21 7QF,Greater Manchester,Unknown,Unknown,Barlow Terrace,53.428345,53.4297375,-2.265961,-2.2634494
-2.2656636,53.4402279,-6.95426317223508e+18,M21 0XW,Greater Manchester,Unknown,Whalley Range,Chatburn Road,53.440168,53.4402318,-2.2655036,-2.2653655
-2.2624367,53.4051797,6.558309216546044e+18,M22 4JL,Greater Manchester,Wythenshawe,Benchill,Longley Lane,53.4054118,53.4056285,-2.2623263,-2.2620929
-2.262481,53.4123705,-7.941756719447872e+17,M22 4FB,Greater Manchester,Unknown,Northenden,Kenworthy Lane,53.412293,53.4126249,-2.2624632,-2.2620901
-2.2625364,53.4213589,-5.441153801290022e+18,M21 7PP,Greater Manchester,Unknown,West Didsbury,Brandwood Avenue,53.4209787,53.4217243,-2.2632551,-2.2620071
-2.2625531,53.4240555,-5.944133414741827e+18,M21 7NR,Greater Manchester,Unknown,West Didsbury,Ennerdale Avenue,53.4238549,53.4240978,-2.2637329,-2.2629068
-2.262664,53.4420323,-6.104919003042739e+18,M21 0XR,Greater Manchester,Unknown,Whalley Range,White Moss Avenue,53.4421544,53.4422445,-2.2628816,-2.2627681
-2.2609546,53.4087784,-6.054602705832648e+18,M22 4FB,Greater Manchester,Unknown,Northenden,Kenworthy Lane,53.4072285,53.412293,-2.2620901,-2.2591584
-2.2610152,53.4186657,5.17394474541024e+18,M21 7PX,Greater Manchester,Unknown,Northenden,Princess Road,53.4185542,53.4193331,-2.261077,-2.2604119
-2.2595106,53.418669,1.878073865649756e+18,M20 2ZH,Greater Manchester,Unknown,Northenden,Penroy Avenue,53.4184226,53.4191708,-2.2596694,-2.2594314
-2.259516,53.4195678,-6.359262275304227e+18,M20 2ZG,Greater Manchester,Unknown,West Didsbury,Mersey Crescent,53.4191708,53.4212593,-2.2604119,-2.2578948
-2.2595928,53.4321516,-3.1864631728776515e+18,M21 7UJ,Greater Manchester,Unknown,West Didsbury,Arrowfield Road,53.4318663,53.4348626,-2.2618253,-2.2574396
-2.2595982,53.4330505,4.728380058564738e+18,M21 7RQ,Greater Manchester,Unknown,West Didsbury,Foxbench Walk,53.4329368,53.4333439,-2.2597806,-2.2583092
-2.2596037,53.4339493,-4.3474295811440113e+18,M21 7RW,Greater Manchester,Unknown,Chorlton-cum-Hardy,Cressfield Way,53.4340273,53.4342667,-2.2605588,-2.2600976
-2.2579297,53.4060884,-5.57717648527482e+18,M22 4NH,Greater Manchester,Wythenshawe,Northenden,Morrell Road,53.4056335,53.4065667,-2.258287,-2.2558448
-2.2580223,53.4213688,-4.182704147092e+18,M20 2YQ,Greater Manchester,Unknown,West Didsbury,Craigmore Avenue,53.4212015,53.4213653,-2.2581166,-2.254993
-2.2566368,53.4411466,-7.727797502955529e+18,M16 8NL,Greater Manchester,Unknown,Whalley Range,Nettleford Road,53.4411187,53.4412289,-2.256803,-2.2566904
-2.2551799,53.4492393,-8.601520540072993e+17,M16 8HR,Greater Manchester,Unknown,Whalley Range,Alness Road,53.4491575,53.4492352,-2.255088,-2.2549018
-2.2489572,53.4150961,-5.300423288364413e+18,M20 2UN,Greater Manchester,Unknown,West Didsbury,Palatine Road,53.4145539,53.4146539,-2.2488699,-2.2487699
-2.2490098,53.4240845,-8.275522262796307e+18,M20 2UZ,Greater Manchester,Unknown,West Didsbury,Moorfield Road,53.4232488,53.4248262,-2.2494972,-2.2476453
-2.245995,53.4231919,8.072546588513413e+18,M20 2XG,Greater Manchester,Unknown,West Didsbury,Walsingham Avenue,53.4231033,53.4233652,-2.2464345,-2.2457771
-2.2414602,53.4196057,7.480125240018e+18,M20 2QT,Greater Manchester,Unknown,Didsbury,Spath Road,53.4158094,53.4197102,-2.2430127,-2.238008
-2.2400113,53.4294961,8.670404234424252e+18,M20 1LP,Greater Manchester,Unknown,Withington,Burton Road,53.4294191,53.4295191,-2.2397838,-2.2396838
-2.2370614,53.4402882,5.088858815127455e+18,M14 6DD,Greater Manchester,Unknown,Withington,Mornington Crescent,53.4399771,53.440817,-2.2374594,-2.232296
-2.2354168,53.4151235,-7.687502650302206e+18,M20 2SS,Greater Manchester,Unknown,Didsbury,Springdale Gardens,53.414868,53.4159758,-2.2370531,-2.2352369
-2.2671803,53.4420223,8.472544758162133e+18,M21 0UN,Greater Manchester,Unknown,Chorlton-cum-Hardy,St Werburgh's Road,53.4418658,53.4419456,-2.2670187,-2.2668705
-2.3197018,53.4194218,1.0683790282188992e+18,M33 3AY,Greater Manchester,Sale,Brooklands,Poplar Grove,53.4192893,53.4193893,-2.3200671,-2.3199671
-2.3076127,53.4122627,-7.932639458173423e+18,M33 3JX,Greater Manchester,Sale,Sale Moor,Forbes Close,53.4122721,53.4123523,-2.3077487,-2.3063075
-2.3016652,53.4221653,-1.5242544356434435e+18,M33 2HD,Greater Manchester,Sale,Sale Moor,Sycamore Street,53.4214533,53.4221597,-2.3021808,-2.3014835
-2.3001161,53.4158772,2.576591799082665e+18,M33 2PB,Greater Manchester,Sale,Sale Moor,Baguley Lane,53.4148026,53.4191327,-2.3004823,-2.2994953
-2.2971008,53.4149859,3.219679103544351e+18,M33 2UP,Greater Manchester,Sale,Sale Moor,Norris Road,53.4150943,53.4153006,-2.2973409,-2.2969994
-2.2939926,53.4006119,6.383070565859696e+18,M23 1ED,Greater Manchester,Wythenshawe,Baguley,Pocklington Drive,53.4000199,53.4004509,-2.2941601,-2.2927211
-2.2910583,53.4114054,3.3264424159854054e+18,M23 0WP,Greater Manchester,Unknown,Northern Moor,Greenham Road,53.4103131,53.4117683,-2.2911406,-2.2901323
-2.2895356,53.4087125,-9.115759044473532e+18,M23 0NS,Greater Manchester,Unknown,Northern Moor,Woodham Road,53.408694,53.4099557,-2.2912747,-2.2879901
-2.2895479,53.4105102,6.685257941641e+18,M23 0WJ,Greater Manchester,Unknown,Northern Moor,Moorcroft Road,53.4081014,53.4106269,-2.2941822,-2.2826393
-2.2879706,53.3997277,7.853108016871907e+18,M23 1DR,Greater Manchester,Wythenshawe,Northern Moor,Spark Road,53.3999038,53.3999371,-2.288206,-2.2877725
-2.2880557,53.4123115,-3.0121220396274294e+18,M23 0ND,Greater Manchester,Unknown,Northern Moor,Button Lane,53.410769,53.4125769,-2.2906441,-2.2871652
-2.2864606,53.3988325,8.947425011782819e+18,M23 1UB,Greater Manchester,Wythenshawe,Benchill,Royal Oak Road,53.398575,53.3991998,-2.2875622,-2.2777914
-2.2865574,53.413214,8.439564847778174e+18,M23 0LZ,Greater Manchester,Unknown,Northern Moor,Button Lane,53.4136962,53.4137868,-2.286936,-2.2867914
-2.2865634,53.4141128,2.244086235940657e+18,M23 0FP,Greater Manchester,Sale,Sale Moor,Sale Road,53.4142145,53.4143145,-2.2866603,-2.2865603
-2.2867207,53.4374827,-2.349880479014564e+18,M21 9FT,Greater Manchester,Unknown,Chorlton-cum-Hardy,Halstead Avenue,53.4374839,53.4381172,-2.2864235,-2.2857402
-2.2850589,53.4141164,-2.326150663615604e+18,M23 0FP,Greater Manchester,Sale,Sale Moor,Sale Road,53.4123589,53.4154204,-2.2882674,-2.2807426
-2.2835186,53.4087269,3.0871123551221376e+18,M23 0PP,Greater Manchester,Unknown,Northern Moor,Lawton Moor Road,53.4087744,53.4089284,-2.2874496,-2.283067
-2.2819489,53.3988432,-1.5314147021767683e+18,M23 1UB,Greater Manchester,Wythenshawe,Benchill,Royal Oak Road,53.398575,53.3991998,-2.2875622,-2.2777914
-2.2819548,53.3997421,4.224242856455708e+18,M23 1BQ,Greater Manchester,Wythenshawe,Benchill,Rawpool Gardens,53.399824,53.3999663,-2.2828387,-2.2812481
-2.2821989,53.4365946,6.065747358238092e+18,M21 8FH,Greater Manchester,Unknown,Chorlton-cum-Hardy,Lawngreen Avenue,53.4369463,53.437325,-2.2828067,-2.281986
-2.280516,53.4096329,-6.273292361791023e+18,M23 0BT,Greater Manchester,Unknown,Northern Moor,Yarmouth Drive,53.4090714,53.4108941,-2.281466,-2.2787516
-2.2806759,53.4339016,6.531833516955833e+18,M21 8EE,Greater Manchester,Unknown,Chorlton-cum-Hardy,Meadow Bank,53.4329526,53.4340029,-2.2834571,-2.2815257
-2.2789999,53.4078387,1.250282542332454e+17,M23 0PB,Greater Manchester,Unknown,Northern Moor,Wythenshawe Road,53.4073362,53.4074362,-2.2783627,-2.2782627
-2.2790235,53.4114341,1.3971966535908585e+18,M23 0LA,Greater Manchester,Unknown,Northern Moor,Newhall Drive,53.4108677,53.4116564,-2.2798053,-2.279026
-2.2774488,53.4006515,3.7625095051863823e+18,M23 9AA,Greater Manchester,Wythenshawe,Benchill,Altrincham Road,53.4015038,53.4020952,-2.2788003,-2.2758488
-2.2775074,53.4096399,4.947301433501199e+18,M23 0PE,Greater Manchester,Unknown,Northern Moor,Carloon Road,53.4074022,53.4108696,-2.2779091,-2.2770664
-2.2760031,53.4096434,-8.820616222601541e+18,M23 0BW,Greater Manchester,Unknown,Northern Moor,Rackhouse Road,53.4085953,53.409562,-2.2770042,-2.2746723
-2.2760206,53.4123399,5.726773707050737e+18,M23 0EH,Greater Manchester,Unknown,Northern Moor,Welshpool Close,53.4121266,53.412406,-2.2761082,-2.2758823
-2.276143,53.4312156,-9.943563481311644e+17,M21 8ES,Greater Manchester,Unknown,Chorlton-cum-Hardy,Cundiff Road,53.4310331,53.433945,-2.2768725,-2.2740736
-2.2761954,53.4393052,2.4766142035916774e+18,M21 9DF,Greater Manchester,Unknown,Chorlton-cum-Hardy,High Lane,53.4394968,53.4396573,-2.2764604,-2.2762149
-2.2744409,53.4006584,7.05146000422745e+18,M23 9AA,Greater Manchester,Wythenshawe,Benchill,Altrincham Road,53.3994912,53.4009009,-2.2931144,-2.2706426
-2.2744872,53.4078492,5.587628396275937e+18,M23 0BW,Greater Manchester,Unknown,Northern Moor,Rackhouse Road,53.4085953,53.409562,-2.2770042,-2.2746723
-2.274493,53.408748,-1.541227490034445e+17,M23 0BW,Greater Manchester,Unknown,Northern Moor,Rackhouse Road,53.4085953,53.409562,-2.2770042,-2.2746723
